jornada,match_date,venue,referee,game_type,set1,set2,set3,set4,set5,home_team_id,home_team,home_position,home_player_lic,home_player_name,game_result_home,home_player2_lic,home_player2_name,match_score_home,running_score_home,away_team_id,away_team,away_position,away_player_lic,away_player_name,game_result_away,away_player2_lic,away_player2_name,match_score_away,running_score_away
12,09/01/20,,,singles,,,,,,,AGRUPACIÓ VETERANS CALELLA,X,12186,LIEURY Alfred Salvador,3,,,,,,CTT ATENEU 1882 ''B'',B,3413,VEGA Alberto,1,,,,
12,09/01/20,,,singles,,,,,,,AGRUPACIÓ VETERANS CALELLA,Z,93,PUIG Jaume,3,,,,,,CTT ATENEU 1882 ''B'',C,6872,TORRELL Enrique,0,,,,
12,09/01/20,,,singles,,,,,,,AGRUPACIÓ VETERANS CALELLA,X,12186,LIEURY Alfred Salvador,3,,,,,,CTT ATENEU 1882 ''B'',A,4594,PORTET Josep Mª,0,,,,
12,09/01/20,,,singles,,,,,,,AGRUPACIÓ VETERANS CALELLA,Y,11244,VILALTA Agusti,3,,,,,,CTT ATENEU 1882 ''B'',C,6872,TORRELL Enrique,0,,,,
12,09/01/20,,,singles,,,,,,,AGRUPACIÓ VETERANS CALELLA,Z,11248,GARCIA Victor,0,,,,,,CTT ATENEU 1882 ''B'',B,3413,VEGA Alberto,3,,,,
12,09/01/20,,,singles,,,,,,,EL CENTRE,X,606,FRANCH Jaume,0,,,,,,EL CERCLE TT GRÀCIA,B,2351,EVANO Pascal,3,,,,
12,09/01/20,,,singles,,,,,,,EL CENTRE,Z,1886,RABASA Antoni,1,,,,,,EL CERCLE TT GRÀCIA,C,418,COMELLAS Isidre,3,,,,
12,09/01/20,,,singles,,,,,,,EL CENTRE,X,606,FRANCH Jaume,0,,,,,,EL CERCLE TT GRÀCIA,A,7119,ALONSO Juan Carlos,3,,,,
12,09/01/20,,,singles,,,,,,,EL CENTRE,Y,6201,LLUVERAS Oriol Manuel,1,,,,,,EL CERCLE TT GRÀCIA,C,418,COMELLAS Isidre,3,,,,
12,09/01/20,,,singles,,,,,,,EL CENTRE,Z,1886,RABASA Antoni,3,,,,,,EL CERCLE TT GRÀCIA,B,2351,EVANO Pascal,0,,,,
12,06/01/20,,,singles,,,,,,,SCR EL CIERVO,B,6268,SOLER Antoni,3,,,,,,CN SABADELL,X,10265,PLAYÀ Francesc,0,,,,
12,06/01/20,,,singles,,,,,,,SCR EL CIERVO,C,6269,RAMOS Antoni,3,,,,,,CN SABADELL,Z,240,MESTRE Carme,0,,,,
12,06/01/20,,,singles,,,,,,,SCR EL CIERVO,A,91,PALAU Ricard,3,,,,,,CN SABADELL,X,10265,PLAYÀ Francesc,2,,,,
12,06/01/20,,,singles,,,,,,,SCR EL CIERVO,C,6269,RAMOS Antoni,2,,,,,,CN SABADELL,Y,10582,PARDELL Ernest,3,,,,
12,06/01/20,,,singles,,,,,,,SCR EL CIERVO,B,6268,SOLER Antoni,3,,,,,,CN SABADELL,Z,240,MESTRE Carme,1,,,,
12,08/01/20,,,singles,,,,,,,UE SANT CUGAT,B,12209,ESPONERA Jose Luis,0,,,,,,TENNIS TAULA CASTELLDEFELS,X,7840,ESPASA Xavier,3,,,,
12,08/01/20,,,singles,,,,,,,UE SANT CUGAT,C,12193,BARTOMEUS Julio,1,,,,,,TENNIS TAULA CASTELLDEFELS,Z,6272,MATA Javier,3,,,,
12,08/01/20,,,singles,,,,,,,UE SANT CUGAT,A,11286,ZHANG Zhiquan,3,,,,,,TENNIS TAULA CASTELLDEFELS,X,7840,ESPASA Xavier,0,,,,
12,08/01/20,,,singles,,,,,,,UE SANT CUGAT,C,12193,BARTOMEUS Julio,2,,,,,,TENNIS TAULA CASTELLDEFELS,Y,4483,CAMPOS Alberto,3,,,,
12,08/01/20,,,singles,,,,,,,UE SANT CUGAT,B,12209,ESPONERA Jose Luis,0,,,,,,TENNIS TAULA CASTELLDEFELS,Z,6272,MATA Javier,3,,,,
