jornada,match_date,venue,referee,game_type,set1,set2,set3,set4,set5,home_team_id,home_team,home_position,home_player_lic,home_player_name,game_result_home,home_player2_lic,home_player2_name,match_score_home,running_score_home,away_team_id,away_team,away_position,away_player_lic,away_player_name,game_result_away,away_player2_lic,away_player2_name,match_score_away,running_score_away
9,18/01/22,,,singles,,,,,,,TITUS BADALONA,A,12974,FORMENTÍ Marc,3,,,,,,CTT RIPOLLET,Y,11780,LLORENS Vicente,0,,,,
9,18/01/22,,,singles,,,,,,,TITUS BADALONA,B,149,NOLIS Josep Mª,3,,,,,,CTT RIPOLLET,X,6783,VILARDELL Alfredo,0,,,,
9,18/01/22,,,singles,,,,,,,TITUS BADALONA,C,219,FIGUERAS Antoni,3,,,,,,CTT RIPOLLET,Z,1699,PORTA Jose Antonio,0,,,,
9,18/01/22,,,singles,,,,,,,TITUS BADALONA,A,12974,FORMENTÍ Marc,3,,,,,,CTT RIPOLLET,X,6783,VILARDELL Alfredo,0,,,,
9,18/01/22,,,singles,,,,,,,TITUS BADALONA,C,219,FIGUERAS Antoni,3,,,,,,CTT RIPOLLET,Y,11780,LLORENS Vicente,0,,,,
9,18/01/22,,,singles,,,,,,,TITUS BADALONA,B,149,NOLIS Josep Mª,3,,,,,,CTT RIPOLLET,Z,1699,PORTA Jose Antonio,1,,,,
9,18/01/22,,,singles,,,,,,,CTT ATENEU 1882,Y,13217,MARTINEZ Francisco,0,,,,,,PauFolchFisio - LLUÏSOS DE GRÀCIA,A,6924,ROMERA Enric,3,,,,
9,18/01/22,,,singles,,,,,,,CTT ATENEU 1882,X,14579,ALOY Raimond,2,,,,,,PauFolchFisio - LLUÏSOS DE GRÀCIA,B,10101,LLADÓ Albert,3,,,,
9,18/01/22,,,singles,,,,,,,CTT ATENEU 1882,Z,1725,BONAVILA Alejandro,3,,,,,,PauFolchFisio - LLUÏSOS DE GRÀCIA,C,8245,MESTRES Enric,1,,,,
9,18/01/22,,,singles,,,,,,,CTT ATENEU 1882,X,14579,ALOY Raimond,0,,,,,,PauFolchFisio - LLUÏSOS DE GRÀCIA,A,6924,ROMERA Enric,3,,,,
9,18/01/22,,,singles,,,,,,,CTT ATENEU 1882,Y,13217,MARTINEZ Francisco,1,,,,,,PauFolchFisio - LLUÏSOS DE GRÀCIA,C,8245,MESTRES Enric,3,,,,
9,18/01/22,,,singles,,,,,,,CTT ATENEU 1882,Z,1725,BONAVILA Alejandro,2,,,,,,PauFolchFisio - LLUÏSOS DE GRÀCIA,B,10101,LLADÓ Albert,3,,,,
9,18/01/22,,,singles,,,,,,,CTT CARDEDEU EIG,Y,12596,JIMÉNEZ Francisco,0,,,,,,CTT ELS AMICS DE TERRASSA ''A'',A,10035,PAGÈS Xavier,3,,,,
9,18/01/22,,,singles,,,,,,,CTT CARDEDEU EIG,X,13314,MANZANO Francisco,0,,,,,,CTT ELS AMICS DE TERRASSA ''A'',B,851,SERRES Jordi,3,,,,
9,18/01/22,,,singles,,,,,,,CTT CARDEDEU EIG,Z,15044,TEIXIDÓ Salvador,0,,,,,,CTT ELS AMICS DE TERRASSA ''A'',C,4405,CAROL Santiago,3,,,,
9,18/01/22,,,singles,,,,,,,CTT CARDEDEU EIG,X,13314,MANZANO Francisco,0,,,,,,CTT ELS AMICS DE TERRASSA ''A'',A,10035,PAGÈS Xavier,3,,,,
9,18/01/22,,,singles,,,,,,,CTT CARDEDEU EIG,Y,12596,JIMÉNEZ Francisco,0,,,,,,CTT ELS AMICS DE TERRASSA ''A'',C,4405,CAROL Santiago,3,,,,
9,18/01/22,,,singles,,,,,,,CTT CARDEDEU EIG,Z,15044,TEIXIDÓ Salvador,0,,,,,,CTT ELS AMICS DE TERRASSA ''A'',B,851,SERRES Jordi,3,,,,
