jornada,match_date,venue,referee,game_type,set1,set2,set3,set4,set5,home_team_id,home_team,home_position,home_player_lic,home_player_name,game_result_home,home_player2_lic,home_player2_name,match_score_home,running_score_home,away_team_id,away_team,away_position,away_player_lic,away_player_name,game_result_away,away_player2_lic,away_player2_name,match_score_away,running_score_away
1,03/10/23,,,singles,,,,,,,CTT ST QUIRZE DEL VALLÈS - Vet C,A,4114,OTERO Sergio,0,,,,,,EL CENTRE,Y,14941,GUISADO Joan,3,,,,
1,03/10/23,,,singles,,,,,,,CTT ST QUIRZE DEL VALLÈS - Vet C,B,12124,ALASTUEY Hugo Alberto,3,,,,,,EL CENTRE,X,16558,MASSANA Marc,0,,,,
1,03/10/23,,,singles,,,,,,,CTT ST QUIRZE DEL VALLÈS - Vet C,A,4114,OTERO Sergio,3,,,,,,EL CENTRE,X,16558,MASSANA Marc,0,,,,
1,03/10/23,,,singles,,,,,,,CTT ST QUIRZE DEL VALLÈS - Vet C,C,946,PEIRIS Enrique,0,,,,,,EL CENTRE,Y,14941,GUISADO Joan,3,,,,
1,03/10/23,,,singles,,,,,,,"CTT CARDEDEU EIG ""B""",A,7670,VALLBONA Xavier,3,,,,,,"TITUS BADALONA ''B""",Y,10817,RATERA Domènec,2,,,,
1,03/10/23,,,singles,,,,,,,"CTT CARDEDEU EIG ""B""",B,16463,OLLERO Angel,2,,,,,,"TITUS BADALONA ''B""",X,10816,LÓPEZ Carlos Alberto,3,,,,
1,03/10/23,,,singles,,,,,,,"CTT CARDEDEU EIG ""B""",C,17388,BALAGUER Joaquim,3,,,,,,"TITUS BADALONA ''B""",Z,13064,REQUENA Oscar,0,,,,
1,03/10/23,,,singles,,,,,,,"CTT CARDEDEU EIG ""B""",A,7670,VALLBONA Xavier,3,,,,,,"TITUS BADALONA ''B""",X,10816,LÓPEZ Carlos Alberto,0,,,,
1,03/10/23,,,singles,,,,,,,"CTT CARDEDEU EIG ""B""",C,17388,BALAGUER Joaquim,3,,,,,,"TITUS BADALONA ''B""",Y,10817,RATERA Domènec,1,,,,
1,03/10/23,,,singles,,,,,,,"CTT CARDEDEU EIG ""B""",B,16296,LEVA Jesús,0,,,,,,"TITUS BADALONA ''B""",Z,13064,REQUENA Oscar,3,,,,
1,04/10/23,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,A,622,OTERO Fernando,3,,,,,,CN ST. ANDREU,Y,3148,DEL AMOR Pedro,0,,,,
1,04/10/23,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,B,13081,GOMEZ David,3,,,,,,CN ST. ANDREU,X,17607,LOPEZ Daniel,2,,,,
1,04/10/23,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,C,16445,ZHAO Yun,3,,,,,,CN ST. ANDREU,Z,13059,MEDINA Edwin,0,,,,
1,04/10/23,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,A,622,OTERO Fernando,3,,,,,,CN ST. ANDREU,X,17607,LOPEZ Daniel,0,,,,
1,04/10/23,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,C,16445,ZHAO Yun,3,,,,,,CN ST. ANDREU,Y,3148,DEL AMOR Pedro,2,,,,
1,04/10/23,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,B,13081,GOMEZ David,3,,,,,,CN ST. ANDREU,Z,13059,MEDINA Edwin,0,,,,
