jornada,match_date,venue,referee,game_type,set1,set2,set3,set4,set5,home_team_id,home_team,home_position,home_player_lic,home_player_name,game_result_home,home_player2_lic,home_player2_name,match_score_home,running_score_home,away_team_id,away_team,away_position,away_player_lic,away_player_name,game_result_away,away_player2_lic,away_player2_name,match_score_away,running_score_away
13,01/02/25,,,singles,,,,,,,CTT BARCELONA ''A'',A,17576,MASSANAS Tomas,3,,,,,,FALCONS DE SABADELL A.E.,Y,17507,SOLER Albert,0,,,,
13,01/02/25,,,singles,,,,,,,CTT BARCELONA ''A'',B,15250,RULL Blai,2,,,,,,FALCONS DE SABADELL A.E.,X,13709,PONCE Lucas,3,,,,
13,01/02/25,,,singles,,,,,,,CTT BARCELONA ''A'',C,15248,VALLES Pau,3,,,,,,FALCONS DE SABADELL A.E.,Z,15823,AYNO Biel,0,,,,
13,01/02/25,,,singles,,,,,,,CTT BARCELONA ''A'',A,17576,MASSANAS Tomas,3,,,,,,FALCONS DE SABADELL A.E.,X,13709,PONCE Lucas,1,,,,
13,01/02/25,,,singles,,,,,,,CTT BARCELONA ''A'',C,15248,VALLES Pau,2,,,,,,FALCONS DE SABADELL A.E.,Y,17507,SOLER Albert,3,,,,
13,01/02/25,,,singles,,,,,,,CTT BARCELONA ''A'',B,15250,RULL Blai,3,,,,,,FALCONS DE SABADELL A.E.,Z,15823,AYNO Biel,1,,,,
13,02/02/25,,,singles,,,,,,,CTT CASTELLDEFELS,A,8021,CASOLIVA Juan Jose,0,,,,,,TOT MOTOR CTT RIPOLLET ''B'',Y,16516,CODOLÀ Pep,3,,,,
13,02/02/25,,,singles,,,,,,,CTT CASTELLDEFELS,B,6168,MORENO Javier,3,,,,,,TOT MOTOR CTT RIPOLLET ''B'',X,16513,JANÉ Ot,1,,,,
13,02/02/25,,,singles,,,,,,,CTT CASTELLDEFELS,C,16157,GONZALEZ Sonia,0,,,,,,TOT MOTOR CTT RIPOLLET ''B'',Z,16515,MACIÀ Álvaro,3,,,,
13,02/02/25,,,singles,,,,,,,CTT CASTELLDEFELS,A,8021,CASOLIVA Juan Jose,2,,,,,,TOT MOTOR CTT RIPOLLET ''B'',X,16513,JANÉ Ot,3,,,,
13,02/02/25,,,singles,,,,,,,CTT CASTELLDEFELS,C,16157,GONZALEZ Sonia,3,,,,,,TOT MOTOR CTT RIPOLLET ''B'',Y,16516,CODOLÀ Pep,0,,,,
13,02/02/25,,,singles,,,,,,,CTT CASTELLDEFELS,B,6168,MORENO Javier,3,,,,,,TOT MOTOR CTT RIPOLLET ''B'',Z,16515,MACIÀ Álvaro,1,,,,
13,01/02/25,,,singles,,,,,,,CTT GRANOLLERS,A,17007,SÁNCHEZ Hugo,3,,,,,,ÀNECBLAU - TT JOVES CTDFELS,Y,15287,ORDÓÑEZ Joel,1,,,,
13,01/02/25,,,singles,,,,,,,CTT GRANOLLERS,B,17702,ILLA Miquel,2,,,,,,ÀNECBLAU - TT JOVES CTDFELS,X,18111,MURGA Jordi,3,,,,
13,01/02/25,,,singles,,,,,,,CTT GRANOLLERS,C,17704,PUIG Sergi,2,,,,,,ÀNECBLAU - TT JOVES CTDFELS,Z,15968,ALONSO Ruben,3,,,,
13,01/02/25,,,singles,,,,,,,CTT GRANOLLERS,A,17007,SÁNCHEZ Hugo,3,,,,,,ÀNECBLAU - TT JOVES CTDFELS,X,18111,MURGA Jordi,2,,,,
13,01/02/25,,,singles,,,,,,,CTT GRANOLLERS,C,17704,PUIG Sergi,2,,,,,,ÀNECBLAU - TT JOVES CTDFELS,Y,15287,ORDÓÑEZ Joel,3,,,,
13,01/02/25,,,singles,,,,,,,CTT GRANOLLERS,B,17702,ILLA Miquel,0,,,,,,ÀNECBLAU - TT JOVES CTDFELS,Z,15968,ALONSO Ruben,3,,,,
13,02/02/25,,,singles,,,,,,,LLUÏSOS DE GRÀCIA ''A'',A,16494,ULLOA Adrià,2,,,,,,TT C. JEMA,Y,11259,BAREA Jordi,3,,,,
13,02/02/25,,,singles,,,,,,,LLUÏSOS DE GRÀCIA ''A'',B,16813,CHAYROUSSE Marçal,3,,,,,,TT C. JEMA,X,6001,NAVARRETE Cristobal,2,,,,
13,02/02/25,,,singles,,,,,,,LLUÏSOS DE GRÀCIA ''A'',A,16494,ULLOA Adrià,2,,,,,,TT C. JEMA,X,6001,NAVARRETE Cristobal,3,,,,
13,02/02/25,,,singles,,,,,,,LLUÏSOS DE GRÀCIA ''A'',B,16813,CHAYROUSSE Marçal,3,,,,,,TT C. JEMA,Z,10095,MILIA Gaspar,1,,,,
13,02/02/25,,,singles,,,,,,,UE SANT CUGAT ''B'',A,11286,ZHANG Zhiquan,3,,,,,,TT L'HOSPITALET,Y,8708,ROMERO Mauricio,2,,,,
13,02/02/25,,,singles,,,,,,,UE SANT CUGAT ''B'',B,14327,HOSPITAL Txomin,0,,,,,,TT L'HOSPITALET,X,16210,BELTRAN Pol,3,,,,
13,02/02/25,,,singles,,,,,,,UE SANT CUGAT ''B'',C,2106,GONZALEZ Pedro,2,,,,,,TT L'HOSPITALET,Z,18139,FREITAS Humbert,3,,,,
13,02/02/25,,,singles,,,,,,,UE SANT CUGAT ''B'',A,11286,ZHANG Zhiquan,3,,,,,,TT L'HOSPITALET,X,16210,BELTRAN Pol,1,,,,
13,02/02/25,,,singles,,,,,,,UE SANT CUGAT ''B'',C,2106,GONZALEZ Pedro,3,,,,,,TT L'HOSPITALET,Y,8708,ROMERO Mauricio,0,,,,
