jornada,match_date,venue,referee,game_type,set1,set2,set3,set4,set5,home_team_id,home_team,home_position,home_player_lic,home_player_name,game_result_home,home_player2_lic,home_player2_name,match_score_home,running_score_home,away_team_id,away_team,away_position,away_player_lic,away_player_name,game_result_away,away_player2_lic,away_player2_name,match_score_away,running_score_away
6,10/11/24,,,singles,,,,,,,CTT CARDEDEU EIG ''B'',A,16740,CASTAÑÉ Iol,0,,,,,,"CN SABADELL ""A""",Y,18029,POYATOS Pau,3,,,,
6,10/11/24,,,singles,,,,,,,CTT CARDEDEU EIG ''B'',B,15517,LIAO Arnau,3,,,,,,"CN SABADELL ""A""",X,15556,LLONCH Roger,1,,,,
6,10/11/24,,,singles,,,,,,,CTT CARDEDEU EIG ''B'',C,18131,SÁNCHEZ Sergi,2,,,,,,"CN SABADELL ""A""",Z,16851,LAZARO Marc,3,,,,
6,10/11/24,,,singles,,,,,,,CTT CARDEDEU EIG ''B'',A,16740,CASTAÑÉ Iol,1,,,,,,"CN SABADELL ""A""",X,15556,LLONCH Roger,3,,,,
6,10/11/24,,,singles,,,,,,,CTT CARDEDEU EIG ''B'',C,18131,SÁNCHEZ Sergi,3,,,,,,"CN SABADELL ""A""",Y,18029,POYATOS Pau,2,,,,
6,10/11/24,,,singles,,,,,,,CTT CARDEDEU EIG ''B'',B,15517,LIAO Arnau,3,,,,,,"CN SABADELL ""A""",Z,16851,LAZARO Marc,1,,,,
6,10/11/24,,,singles,,,,,,,ÀNECBLAU - TT JOVES CTDFELS,Y,16873,TERRAZA David,1,,,,,,LLUÏSOS DE GRÀCIA ''D'',A,18267,SOLÉ Marc,3,,,,
6,10/11/24,,,singles,,,,,,,ÀNECBLAU - TT JOVES CTDFELS,X,19037,SANCHEZ Omar,1,,,,,,LLUÏSOS DE GRÀCIA ''D'',B,19156,BENEDICO Edgar,3,,,,
6,10/11/24,,,singles,,,,,,,ÀNECBLAU - TT JOVES CTDFELS,Z,15968,ALONSO Ruben,3,,,,,,LLUÏSOS DE GRÀCIA ''D'',C,18331,ITURRIA Alexander,1,,,,
6,10/11/24,,,singles,,,,,,,ÀNECBLAU - TT JOVES CTDFELS,X,19037,SANCHEZ Omar,3,,,,,,LLUÏSOS DE GRÀCIA ''D'',A,18267,SOLÉ Marc,1,,,,
6,10/11/24,,,singles,,,,,,,ÀNECBLAU - TT JOVES CTDFELS,Y,16873,TERRAZA David,3,,,,,,LLUÏSOS DE GRÀCIA ''D'',C,18331,ITURRIA Alexander,2,,,,
6,10/11/24,,,singles,,,,,,,ÀNECBLAU - TT JOVES CTDFELS,Z,15968,ALONSO Ruben,3,,,,,,LLUÏSOS DE GRÀCIA ''D'',B,19156,BENEDICO Edgar,1,,,,
6,10/11/24,,,singles,,,,,,,CTT ST QUIRZE DEL VALLÈS - Sen D,A,1770,MILLERA Carlos,1,,,,,,CTT CASTELLGALÍ ''A'',Y,16332,CASAS Jordi,3,,,,
6,10/11/24,,,singles,,,,,,,CTT ST QUIRZE DEL VALLÈS - Sen D,B,16835,CANADELL Santiago,2,,,,,,CTT CASTELLGALÍ ''A'',X,13152,COBELA Antonio,3,,,,
6,10/11/24,,,singles,,,,,,,CTT ST QUIRZE DEL VALLÈS - Sen D,C,19779,CAMPANARIO Sergio,3,,,,,,CTT CASTELLGALÍ ''A'',Z,13180,GUIXARÓ Ferran,0,,,,
6,10/11/24,,,singles,,,,,,,CTT ST QUIRZE DEL VALLÈS - Sen D,A,1770,MILLERA Carlos,0,,,,,,CTT CASTELLGALÍ ''A'',X,13152,COBELA Antonio,3,,,,
6,10/11/24,,,singles,,,,,,,CTT ST QUIRZE DEL VALLÈS - Sen D,C,19779,CAMPANARIO Sergio,0,,,,,,CTT CASTELLGALÍ ''A'',Y,16332,CASAS Jordi,3,,,,
6,10/11/24,,,singles,,,,,,,CTT ST QUIRZE DEL VALLÈS - Sen D,B,16835,CANADELL Santiago,3,,,,,,CTT CASTELLGALÍ ''A'',Z,13180,GUIXARÓ Ferran,1,,,,
6,10/11/24,,,singles,,,,,,,"CTT ELS AMICS TERRASSA ""B""",A,15624,MONTAÑÁ Josep,0,,,,,,CTT SANTA PERPETUA,Y,19003,LOPEZ Miguel Angel,3,,,,
6,10/11/24,,,singles,,,,,,,"CTT ELS AMICS TERRASSA ""B""",B,16771,MONTAÑÁ Miquel,0,,,,,,CTT SANTA PERPETUA,X,18936,MARTINEZ Joaquim,3,,,,
6,10/11/24,,,singles,,,,,,,"CTT ELS AMICS TERRASSA ""B""",C,16769,VAZQUEZ Alvaro,3,,,,,,CTT SANTA PERPETUA,Z,12908,PRUNES Alfredo,0,,,,
6,10/11/24,,,singles,,,,,,,"CTT ELS AMICS TERRASSA ""B""",A,15624,MONTAÑÁ Josep,3,,,,,,CTT SANTA PERPETUA,X,18936,MARTINEZ Joaquim,1,,,,
6,10/11/24,,,singles,,,,,,,"CTT ELS AMICS TERRASSA ""B""",C,16769,VAZQUEZ Alvaro,0,,,,,,CTT SANTA PERPETUA,Y,19003,LOPEZ Miguel Angel,3,,,,
6,10/11/24,,,singles,,,,,,,"CTT ELS AMICS TERRASSA ""B""",B,16771,MONTAÑÁ Miquel,3,,,,,,CTT SANTA PERPETUA,Z,12908,PRUNES Alfredo,1,,,,
6,10/11/24,,,singles,,,,,,,"CTT VILASSAR L'OBRERA ""B""",A,19297,SANTOS Edgar,1,,,,,,ATT CASTELLAR ''A'',Y,17981,PASCUAL Leandre,3,,,,
6,10/11/24,,,singles,,,,,,,"CTT VILASSAR L'OBRERA ""B""",B,19291,ROVIROSA Elisa,3,,,,,,ATT CASTELLAR ''A'',X,15904,GRAU Jan,0,,,,
6,10/11/24,,,singles,,,,,,,"CTT VILASSAR L'OBRERA ""B""",C,14506,BADIA Anna,0,,,,,,ATT CASTELLAR ''A'',Z,18196,SACRISTÁN Oscar,3,,,,
6,10/11/24,,,singles,,,,,,,"CTT VILASSAR L'OBRERA ""B""",A,19297,SANTOS Edgar,3,,,,,,ATT CASTELLAR ''A'',X,15904,GRAU Jan,0,,,,
6,10/11/24,,,singles,,,,,,,"CTT VILASSAR L'OBRERA ""B""",C,14506,BADIA Anna,0,,,,,,ATT CASTELLAR ''A'',Y,17981,PASCUAL Leandre,3,,,,
6,10/11/24,,,singles,,,,,,,"CTT VILASSAR L'OBRERA ""B""",B,19291,ROVIROSA Elisa,0,,,,,,ATT CASTELLAR ''A'',Z,18196,SACRISTÁN Oscar,3,,,,
6,10/11/24,,,singles,,,,,,,UE SANT CUGAT ''A'',Y,16749,ARMADAS Joan Ramon,1,,,,,,TT LLORENÇÀ,A,12057,MONTALBAN Xavi,3,,,,
6,10/11/24,,,singles,,,,,,,UE SANT CUGAT ''A'',X,17485,TRIGO Rafael,0,,,,,,TT LLORENÇÀ,B,12056,ALFONSO Marc,3,,,,
6,10/11/24,,,singles,,,,,,,UE SANT CUGAT ''A'',Z,19692,FERNÁNDEZ Cristià,0,,,,,,TT LLORENÇÀ,C,5632,TRILLAS Oscar,3,,,,
6,10/11/24,,,singles,,,,,,,UE SANT CUGAT ''A'',X,17485,TRIGO Rafael,0,,,,,,TT LLORENÇÀ,A,12057,MONTALBAN Xavi,3,,,,
6,10/11/24,,,singles,,,,,,,UE SANT CUGAT ''A'',Y,16749,ARMADAS Joan Ramon,0,,,,,,TT LLORENÇÀ,C,5632,TRILLAS Oscar,3,,,,
6,10/11/24,,,singles,,,,,,,UE SANT CUGAT ''A'',Z,19692,FERNÁNDEZ Cristià,0,,,,,,TT LLORENÇÀ,B,12056,ALFONSO Marc,3,,,,
